,ISBN,book_id,title,author,publisher,year,language
2310,014034991X,5895,The Westing Game,['Ellen Raskin'],Puffin,1992,en
2311,0440414539,5896,Lily's Crossing,['Patricia Reilly Giff'],Yearling,1999,en
2312,0553274295,5898,Where The Red Fern Grows,['Wilson Rawls'],Laurel Leaf,1961,en
2313,0689800843,5900,Running Out Of Time,['Margaret Peterson Haddix'],Simon and Schuster,1995,en
2314,0743490398,5911,The Ultimate Weight Solution Food Guide,"['Phillip C. McGraw', 'Phil McGraw']",Simon and Schuster,2004,en
2315,0451524667,5912,Animal Farm,['George Orwell'],Signet Classics,1986,en
2316,0446600253,5913,"Bless Me, Ultima",['Rudolfo Anaya'],Grand Central Publishing,1994,en
2318,0671039857,5916,The End Of The Rainbow,['V.C. Andrews'],Pocket Books,2001,en
2319,0671039830,5917,Eye Of The Storm,['V.C. Andrews'],Pocket Books,2000,en
2320,0671007696,5918,Lightning Strikes,['V.C. Andrews'],Pocket Books,2000,en
2321,067100767X,5919,Rain,['V.C. Andrews'],Pocket Books,2000,en
2324,8495501074,5928,Ensayo sobre la ceguera,['José Saramago'],Punto De Lectura,2000,es
2325,0821767240,5935,An Unwilling Bride,['Jo Beverley'],Zebra Books,2001,en
2326,0515135356,5936,Crime School,"[""Carol O'Connell""]",Penguin,2003,en
2327,0316782262,5937,All He Ever Wanted - A Novel,['Anita Shreve'],Little Brown & Company,2003,en
2328,0525945210,5938,A Man Named Dave - A Story Of Triumph And Forgiveness,['Dave Pelzer'],Dutton Books,1999,en
2329,0786869054,5939,The Sunday Wife,['Cassandra King'],Hyperion,2002,en
2330,0446530387,5940,Stone Kiss,['Faye Kellerman'],Grand Central Publishing,2002,en
2332,0375413634,5942,The Emperor Of Ocean Park,['Stephen L. Carter'],Knopf,2002,en
2333,0425147762,5943,Red Azalea,['Anchee Min'],Berkley,1995,en
2334,0399149295,5944,Blood Orchid,['Stuart Woods'],Putnam Adult,2002,en
2335,0670031062,5946,Must Love Dogs - A Novel,['Claire Cook'],Viking Adult,2002,en
2336,0679439382,5947,The Little Friend,['Donna Tartt'],Knopf Publishing Group,2002,en
2337,0451179188,5949,The Throat,['Peter Straub'],Signet Book,1994,en
2338,0061098035,5951,Burn Factor,['Kyle Mills'],Harper Collins,2002,en
2340,0786889837,5955,Buried Evidence,['Nancy Taylor Rosenberg'],Hyperion,2002,en
2341,0804108749,5956,Saint Maybe,['Anne Tyler'],"Random House Digital, Inc.",1992,en
2342,0425121631,5957,Rules Of Prey,['John Sandford'],Berkley Publishing Group,1990,en
2343,0345402308,5959,The Fourth Procedure,['Stanley Pottinger'],,1996,en
2344,0451168690,5960,Mystery,['Peter Straub'],Signet,1990,en
2345,067945960X,5961,Monster - A Novel,['Jonathan Kellerman'],Random House (NY),1999,en
2347,0451188616,5963,The Heir,['Catherine Coulter'],Signet,1996,en
2349,0380820846,5965,Romancing Mister Bridgerton,['Julia Quinn'],Avon,2002,en
2351,0425119653,5967,Mutation,['Robin Cook'],Penguin,1990,en
2352,0553579983,5968,And Then You Die - A Novel,['Iris Johansen'],Bantam,1998,en
2353,0399149325,5969,Portrait Of A Killer - Jack The Ripper--Case Closed,['Patricia Daniels Cornwell'],Putnam Adult,2002,en
2354,0446610852,5972,The Kissing Game,['Kasey Michaels'],Forever,2003,en
2355,0671744577,5974,Eternity,['Jude Deveraux'],Pocket Books,1992,en
2357,0804114986,5977,The Bonesetter's Daughter - A Novel,['Amy Tan'],Ballantine Books,2002,en
2358,0380808072,5978,First Lady,['Susan Elizabeth Phillips'],Avon,2000,en
2359,067179356X,5979,In The Name Of Love - Ann Rule's Crime Files,['Ann Rule'],Simon and Schuster,1998,en
2360,0380750848,5981,A Heart So Wild,['Johanna Lindsey'],Avon,1986,en
2361,0446611808,5983,Envy,['Sandra Brown'],Grand Central Publishing,2002,en
2362,0553583360,5985,Slightly Shady,['Amanda Quick'],Bantam,2002,en
2363,0446600709,5986,Assumed Identity,['David Morrell'],Vision,1994,en
2364,0425178579,5989,Betrayal In Death,['J. D. Robb'],Penguin,2001,en
2365,1551669498,5991,Girls Night,['Stef Ann Holm'],MIRA,2002,en
2366,0345430786,6006,Space,['Stephen Baxter'],Del Rey Books,2002,en
2368,0312319142,6011,Paranoia,['Joseph Finder'],Macmillan,2004,en
2369,0345453417,6013,Cry No More,['Linda Howard'],"Random House Digital, Inc.",2003,en
2370,0553802526,6019,The Killing Hour,['Lisa Gardner'],Bantam,2003,en
2371,0399150854,6021,Blacklist - A V.I. Warshawski Novel,['Sara Paretsky'],Putnam Adult,2003,en
2372,0446531421,6023,Still Life With Crows,"['Douglas Preston', 'Lincoln Child']",Grand Central Publishing,2003,en
2373,0399150870,6026,Stone Cold - A Jesse Stone Novel,['Robert B. Parker'],Putnam Adult,2003,en
2374,0399149821,6027,Dirty Work,['Stuart Woods'],Putnam Adult,2003,en
2375,0553802496,6028,Odd Thomas,['Dean Ray Koontz'],Bantam,2003,en
2376,0345452577,6029,The Conspiracy Club,['Jonathan Kellerman'],"Random House Digital, Inc.",2003,en
2377,1400041414,6030,The Murder Room,['P. D. James'],Knopf,2003,en
2378,0525947655,6033,A Perfect Day,['Richard Paul Evans'],Dutton Adult,2003,en
2379,0399148760,6037,Seizure,['Robin Cook'],Putnam Adult,2003,en
2381,0399145664,6039,Family Honor,['Robert B. Parker'],Putnam Adult,1999,en
2382,0425178102,6040,Big Trouble,['Dave Barry'],Berkley Publishing Group,2001,en
2384,0312985207,6046,Stephen Coonts' Deep Black,"['Stephen Coonts', 'Jim DeFelice']",Macmillan,2003,en
2387,0451208765,6059,Sleep No More - A Suspense Thriller,['Greg Iles'],Penguin,2003,en
2388,0618129022,6060,The Lord Of The Rings,['John Ronald Reuel Tolkien'],Mariner Books,2001,en
2389,0345423402,6061,A Kiss Of Shadows,['Laurell K. Hamilton'],Ballantine Books,2002,en
2390,0345423429,6062,A Caress Of Twilight,['Laurell K. Hamilton'],Fawcett Books,2003,en
2391,034544356X,6063,Seduced By Moonlight,['Laurell K. Hamilton'],"Random House Digital, Inc.",2004,en
2392,0743454146,6064,The Footprints Of God,['Greg Iles'],Simon and Schuster,2004,en
2393,0451210840,6065,The Gunslinger,[''],Penguin,2003,en
2394,0425152367,6066,Private Altars,['Katherine Mosby'],Berkley,1996,en
2395,0553106643,6068,Fear Nothing,['Dean Ray Koontz'],Bantam,1998,en
2397,0312144075,6075,The Samurai's Garden - A Novel,['Gail Tsukiyama'],Macmillan,1996,en
2398,0156007479,6077,Slammerkin,['Emma Donoghue'],Houghton Mifflin Harcourt,2002,en
2399,0061031844,6078,The Book Of Shadows,['James Reese'],HarperTorch,2002,en
2400,0875421849,6082,Living Wicca - A Further Guide For The Solitary Practitioner,['Scott Cunningham'],Llewellyn Worldwide,1993,en
2401,0786868619,6083,Stolen Lives - Twenty Days In A Desert Jail,['Malika Oufkir'],Miramax Books,2001,en
2402,0671723650,6090,How To Win Friends And Influence People,['Dale Carnegie'],Simon and Schuster,1982,en
2403,0671733354,6091,How To Stop Worrying And Start Living,['Dale Carnegie'],Pocket,1990,en
2404,0451206525,6092,Dead Sleep - A Suspense Thriller,['Greg Iles'],National Geographic Books,2002,en
2405,0451167317,6096,The Dark Half,['Stephen King'],Penguin,1990,en
2406,0590444646,6098,Caddie Woodlawn,['Carol Ryrie Brink'],,1991,en
2407,0671517643,6100,Little Women,['Louisa May Alcott'],,1994,en
2410,0399144706,6122,River's End,['Nora Roberts'],Putnam Adult,1999,en
2411,0140444173,6124,War And Peace,['graf Leo Tolstoy'],,2006,en
2413,0880389052,6127,Homeland,['R. A. Salvatore'],,2000,en
2415,0345396936,6138,Cry To Heaven - A Novel,['Anne Rice'],Ballantine Books,1995,en
2416,014010870X,6140,Life And Death In Shanghai,['Nien Cheng'],Penguin Group,1988,en
2417,0330306839,6144,Holidays In Hell,"[""P. J. O'Rourke""]",Picador,1989,en
2418,0590466178,6151,Night Of The Living Dummy,['R. L. Stine'],,1993,en
2419,0312980159,6157,Fast Women,['Jennifer Crusie'],Macmillan,2002,en
2420,1580050158,6161,Cunt - A Declaration Of Independence,['Inga Muscio'],Seal Press (CA),1998,en
2421,0312979886,6173,Female Intelligence,['Jane Heller'],Macmillan,2002,en
2422,0425173631,6175,Witness In Death,['J. D. Robb'],Penguin,2000,en
2423,0553212451,6177,The Jungle,['Upton Sinclair'],National Geographic Books,1981,en
2425,0553299611,6179,Lila - An Inquiry Into Morals,['Robert Pirsig'],Bantam,1992,en
2426,0679454489,6180,Merrick - A Novel,['Anne Rice'],Knopf Canada,2000,en
2427,0679454470,6181,The Vampire Armand,['Anne Rice'],Knopf,1998,en
2428,0425176304,6182,Judgment In Death,['J. D. Robb'],Penguin,2000,en
2429,087542791X,6189,To Ride A Silver Broomstick - New Generation Witchcraft,['Silver RavenWolf'],Llewellyn Publications,1993,en
2430,015696158X,6190,When God Was A Woman,['Merlin Stone'],Houghton Mifflin Harcourt,1978,en
2431,0679720200,6191,The Stranger,['Albert Camus'],Vintage,1989,en
2432,0373250371,6195,Losing It,['Lindsay Faith Rech'],"Don Mills, ON : Red Dress Ink",2003,en
2433,0312983271,6196,Full House,"['Janet Evanovich', 'Charlotte Hughes']","Farrar, Straus, and Giroux",2002,en
2434,0060507845,6197,"A Promising Man (And About Time, Too)",['Elizabeth Young'],Harper Collins,2002,en
2435,0345295684,6198,Dragonflight,['Anne McCaffrey'],Del Rey,1978,en
2438,0821221817,6218,The National Parks - A Postcard Folio Book,['Ansel Adams'],Little Brown & Company,1995,en
2439,0345391829,6221,"Life, The Universe And Everything",['Douglas Adams'],National Geographic Books,1995,en
2442,0553284789,6226,"""F"" Is For Fugitive",['Sue Grafton'],Crimeline,1990,en
2443,0553279556,6227,"""E"" Is For Evidence - A Kinsey Millhone Mystery",['Sue Grafton'],Crimeline,1989,en
2444,0374281947,6229,Personal Injuries,['Scott Turow'],Macmillan,1999,en
2445,0345420438,6230,The Tailor Of Panama,['John Le Carré'],"Random House Digital, Inc.",1996,en
2446,0345384911,6232,Crystal Line,['Anne McCaffrey'],Random House LLC,1992,en
2447,0451191013,6235,The Regulators,"['Richard Bachman', 'Stephen King']",Penguin,1997,en
2450,0375725849,6252,Perfume - The Story Of A Murderer,['Patrick Suskind'],Vintage,2001,en
2451,0345318587,6253,"The Hobbit, Or, There And Back Again",['John Ronald Reuel Tolkien'],,1984,en
2453,038072541X,6260,Hit Man,['Lawrence Block'],HarperTorch,1999,en
2454,0449204553,6261,A Walk Across America,['Peter Jenkins'],Fawcett,1982,en
2455,0446605409,6262,Plum Island,['Nelson DeMille'],Grand Central Publishing,1998,en
2456,0061009504,6263,Shinju,['Laura Joh Rowland'],Harper Collins,1996,en
2457,0142002399,6264,The Shape Of Water,['Andrea Camilleri'],Penguin Group,2002,en
2458,0330328743,6267,The Butcher Boy,"['Patrick McCabe', 'Pat McCabe']",Pan Macmillan,1992,en
2459,0679776818,6276,Birdsong - A Novel Of Love And War,['Sebastian Faulks'],Vintage,1997,en
2460,0446610771,6286,Warchild,['Karin Lowachee'],Aspect,2002,en
2461,0440224713,6292,Total Recall - A V. I. Warshawski Novel,['Sara Paretsky'],Dell,2002,en
2462,0553280414,6294,A Separate Peace,['John Knowles'],Bantam,1975,en
2464,0064410137,6296,A Series Of Unfortunate Events #10: The Slippery Slope,['Lemony Snicket'],HarperCollins,2003,en
2465,0345440765,6301,The World Below - A Novel,['Sue Miller'],Ballantine Books,2001,en
2466,0836251822,6302,"I'm Not Anti-Business, I'm Anti-Idiot - A Dilbert Book",['Scott Adams'],Andrews McMeel Publishing,1998,en
2467,0517706814,6305,The Law Of Love,['Laura Esquivel'],Crown,1996,en
2468,0440496039,6316,The Wolves Of Willoughby Chase,['Joan Aiken'],Yearling,2001,en
2469,0689710682,6317,Mrs. Frisby And The Rats Of Nimh,"[""Robert C. O'Brien""]",Aladdin,1986,en
2470,0440472091,6329,Ramona The Pest,['Beverly Cleary'],Yearling,1968,en
2471,0439136369,6330,Harry Potter And The Prisoner Of Azkaban - Book #3,['J. K. Rowling'],,2001,en
2472,0020418809,6336,Caddie Woodlawn,['Carol Ryrie Brink'],Simon Pulse,1970,en
2473,014034893X,6339,"Roll Of Thunder, Hear My Cry",['Mildred D. Taylor'],Penguin,1991,en
2474,0385498799,6341,Bee Season - A Novel,['Myla Goldberg'],Doubleday Books,2000,en
2475,0140366660,6342,The Secret Garden,['Frances Hodgson Burnett'],,1994,en
2478,0064471837,6345,"Dewey und ich - die wahre Geschichte des berühmtesten Katers der Welt ; Belletristik, Lesung ; gekürzte Lesung",[''],,2020,de
2479,0345366239,6346,The Eight - A Novel,['Katherine Neville'],Ballantine Books,1990,en
2480,0330262130,6347,The Restaurant At The End Of The Universe,['Douglas Adams'],Pan Macmillan Adult,1980,en
2481,0684832178,6355,Chocolate For A Woman's Soul - 77 Stories To Feed Your Spirit And Warm Your Heart,['Kay Allenbaugh'],Simon and Schuster,1997,en
2482,0380807343,6356,Coraline 10Th Anniversary Edition,['Neil Gaiman'],Harper Collins,2012,en
2483,0553577123,6360,The Diary Of A Young Girl - The Definitive Edition,['Anne Frank'],Bantam Doubleday Dell Publishing Group Incorporated,1997,en
2484,0380752891,6368,Man From Mundania,['Piers Anthony'],,1989,en
2485,0812969812,6377,Blessings - A Novel,['Anna Quindlen'],Random House Trade Paperbacks,2003,en
2486,0451163524,6379,The Drawing Of The Three,['Stephen King'],Berkley,1990,en
2488,0452280621,6382,Beloved - A Novel,['Toni Morrison'],Plume Books,1998,en
2489,0451166582,6385,The Eyes Of The Dragon - A Story,['Stephen King'],Signet Book,1988,en
2490,0671026011,6387,The Empty Chair,['Jeffery Deaver'],Pocket Books,2001,en
2491,0330375253,6396,Bridget Jones's Diary - A Novel,['Helen Fielding'],Pan Macmillan,2001,en
2493,0385503822,6400,The Summons (Limited Edition),['John Grisham'],Doubleday,2002,en
2494,0609804138,6401,"The Sweet Potato Queens' Book Of Love - A Fallen Southern Belle's Look At Love, Life, Men, Marriage, And Being Prepared",['Jill Conner Browne'],Crown,1999,en
2495,0345439104,6402,Drowning Ruth - A Novel,['Christina Schwarz'],Ballantine Books,2001,en
2496,0061031410,6404,Courting Trouble,['Lisa Scottoline'],HarperTorch,2003,en
2498,0140071083,6406,The Haunting Of Hill House,['Shirley Jackson'],Penguin Books,1987,en
2499,0743439791,6409,The Night I Disappeared,['Julie Reece Deaver'],Simon Pulse,2002,en
2500,0684848406,6413,The Secret Book Of Grazia Dei Rossi,['Jacqueline Park'],Simon and Schuster,1998,en
2504,0061031070,6422,Moving Target,['Elizabeth Lowell'],Harper Collins,2002,en
2505,0425180638,6423,The Last Precinct,['Patricia Cornwell'],Penguin,2000,en
2506,1853260045,6424,Great Expectations,['Charles Dickens'],Wordsworth Editions,1992,en
2507,0441009239,6430,Living Dead In Dallas,['Charlaine Harris'],Penguin,2002,en
2508,0441008534,6431,Dead Until Dark,['Charlaine Harris'],National Geographic Books,2001,en
2509,0312924801,6432,September,['Rosamunde Pilcher'],Macmillan,1991,en
2511,0451163540,6449,Triple - A Novel,['Ken Follett'],Berkley,1980,en
2512,0394800206,6459,"Go, Dog. Go!",['P.D. Eastman'],Random House Books for Young Readers,1961,en
2513,0671787551,6465,Reunion,['Michael Jan Friedman'],Pocket Books/Star Trek,1992,en
2514,0812516001,6467,The Inheritor,['Marion Zimmer Bradley'],Tor Books,1984,en
2516,0399145923,6478,Carolina Moon,['Nora Roberts'],Putnam Adult,2000,en
2518,0804107432,6481,Dying Young,['Marti Leimbach'],,1991,en
2520,0375503994,6483,Shrub - The Short But Happy Political Life Of George W. Bush,"['Molly Ivins', 'Lou Dubose']","Random House Digital, Inc.",2000,en
2521,068416325X,6490,The Great Gatsby,['Francis Scott Fitzgerald'],Simon & Schuster,1986,en
2522,3442722497,6493,"Schnee, der auf Zedern fällt - Roman",['David Guterson'],,1998,de
2524,0679735909,6501,Possession,['A. S. Byatt'],Vintage,1991,en
2525,0380716542,6502,Birds Of Prey - A Novel Of Suspense,['J. A. Jance'],Avon,2002,en
2526,0380792486,6503,Outlaw Mountain: - A Joanna Brady Mystery,['J. A. Jance'],Harper Collins,2000,en
2527,0670881767,6504,'Twas The Night Before - A Love Story,['Jerry B. Jenkins'],Viking Adult,1998,en
2528,0451523377,6505,Dracula,['Bram Stoker'],Signet Classics,1992,en
2529,0452281423,6506,The Claiming Of Sleeping Beauty - A Novel,"['A. N. Roquelaure', 'Anne Rice']",National Geographic Books,1999,en
2530,0679775439,6510,The Wind-Up Bird Chronicle - A Novel,['Haruki Murakami'],Vintage,1998,en
2531,0345272609,6512,The Return Of The King,['John Ronald Reuel Tolkien'],,1977,en
2532,0345272587,6514,The Fellowship Of The Ring - Being The First Part Of The Lord Of The Rings,['J. R. R. Tolkien'],,1977,en
2533,3596215226,6522,Schachnovelle,['Stefan Zweig'],Fisher,1997,de
2534,0786817089,6529,Artemis Fowl The Arctic Incident,['Eoin Colfer'],Disney-Hyperion,2003,en
2535,0385334923,6530,Tulip Fever - A Novel,['Deborah Moggach'],National Geographic Books,2001,en
2536,0345445856,6531,Milk Glass Moon - A Novel,['Adriana Trigiani'],Ballantine Books,2003,en
2537,0449221490,6538,L Is For Lawless,['Sue Grafton'],Fawcett Books,1996,en
2538,042513699X,6542,Turtle Moon,['Alice Hoffman'],Berkley,1993,en
2539,015602943X,6545,The Time Traveler's Wife,['Audrey Niffenegger'],Houghton Mifflin Harcourt,2004,en
2540,037570485X,6546,The Inn At Lake Devine,['Elinor Lipman'],Vintage,1999,en
2542,0156028352,6553,The Color Purple,['Alice Walker'],Houghton Mifflin Harcourt,2003,en
2543,0886773741,6561,Tailchaser's Song,['Tad Williams'],"D A W Books, Incorporated",1986,en
2544,0886771625,6565,Tailchaser's Song,['Tad Williams'],[New York] : Daw Books,1986,en
2545,0140186484,6567,Twenty Love Poems And A Song Of Despair,['Pablo Neruda'],Penguin,1993,en
2546,0590457403,6569,Emergency Room,['Caroline B. Cooney'],Scholastic Paperbacks,1994,en
2547,0448095041,6570,Nancy Drew 04: The Mystery At Lilac Inn,['Carolyn Keene'],Penguin,1930,en
2549,0061032042,6577,Rebecca's Tale,['Sally Beauman'],Harper Collins,2002,en
2550,0515126098,6581,Field Of Thirteen,['Dick Francis'],Jove,1999,en
2551,0345387651,6583,The Cider House Rules,['John Irving'],,1993,en
2552,0345384563,6584,"A History Of God - The 4,000-Year Quest Of Judaism, Christianity And Islam",['Karen Armstrong'],Ballantine Books,1994,en
2555,0553580531,6612,Gates Of Fire - An Epic Novel Of The Battle Of Thermopylae,['Steven Pressfield'],Bantam,1999,en
2556,0451160193,6614,Fools Die - A Thriller,['Mario Puzo'],National Geographic Books,1979,en
2557,0679433023,6617,Violin - A Novel,['Anne Rice'],Knopf,1997,en
2558,0679463321,6620,Killing Time - A Novel Of The Future,['Caleb Carr'],"Random House Digital, Inc.",2000,en
2559,0679444815,6621,Timeline,['Michael Crichton'],Knopf,1999,en
2560,0486268705,6624,Dubliners,['James Joyce'],Courier Corporation,1991,en
2562,0553241729,6637,Nathaniel,['John Saul'],,1985,en
2564,0425121259,6649,The Servants Of Twilight,['Dean R. Koontz'],Penguin,1990,en
2565,0061030430,6650,Long Time No See,['Susan Isaacs'],HarperTorch,2002,en
2566,0553572210,6654,Silent Treatment - A Novel,['Michael Palmer'],Bantam,1996,en
2568,0743467523,6657,Dreamcatcher,['Stephen King'],,2001,en
2569,0312950489,6658,The Black Echo,['Michael Connelly'],St. Martin's Paperbacks,1993,en
2570,014012389X,6659,Love In The Time Of Cholera,"['Gabriel García Márquez', 'Edith Grossman']",,1989,en
2571,0446353205,6662,The Charm School,['Nelson DeMille'],Grand Central Publishing,1989,en
2572,042516019X,6666,Masquerade,['Gayle Lynds'],Berkley Books,1997,en
2574,0373834284,6682,Rebellion,['Nora Roberts'],Harlequin Books,1988,en
2575,0440224853,6683,The Ghost - A Novel,['Danielle Steel'],Dell,1998,en
2576,0345404114,6684,Sleepers,['Lorenzo Carcaterra'],"Random House Digital, Inc.",1996,en
2577,0451211014,6691,The Last Promise,['Richard Evans'],National Geographic Books,2003,en
2578,0440219817,6693,Driver's Ed,['Caroline B. Cooney'],Laurel Leaf,1996,en
2579,0446361739,6696,Slow Heat In Heaven,['Sandra Brown'],Grand Central Publishing,1991,en
2580,0141007338,6697,About A Boy,['Nick Hornby'],Gardners Books,2002,en
2581,0007110928,6699,Billy,['Pamela Stephenson'],HarperCollins,2002,en
2582,0375760393,6700,The Botany Of Desire - A Plant's-Eye View Of The World,['Michael Pollan'],Random House Trade Paperbacks,2002,en
2583,0425129586,6702,And Then There Were None,['Agatha Christie'],Berkley,1991,en
2584,0671027662,6707,Coast Road,['Barbara Delinsky'],Pocket Books,1999,en
2585,0399523308,6711,The Girlfriends' Guide To Surviving The First Year Of Motherhood - Wise And Witty Advice On Everything From Coping With Postpartum Moodswings To,['Vicki Iovine'],Penguin,1997,en
2586,042513024X,6719,The A.B.C. Murders,['Agatha Christie'],Berkley,1991,en
2587,0446530239,6721,If Looks Could Kill,['Kate White'],Grand Central Pub,2002,en
2589,0671742515,6729,Long Dark Tea-Time Of The Soul,['Douglas Adams'],Simon and Schuster,1990,en
2590,0446357200,6731,The Name Of The Rose,['Umberto Eco'],Grand Central Pub,1988,en
2591,0316198951,6733,Jim The Boy - A Novel,['Tony Earley'],Back Bay Books,2001,en
2592,0140065504,6738,Water Music,['T. Coraghessan Boyle'],Penguin (Non-Classics),1981,en
2593,0345427637,6741,The Angel Of Darkness,['Caleb Carr'],Del Rey,1998,en
2595,0553213105,6745,Pride And Prejudice,['Jane Austen'],Bantam Classics,1983,en
2597,0380012057,6754,"Gabriela, Clove And Cinnamon",['Jorge Amado'],Avon,1978,en
2598,0385474547,6755,Things Fall Apart - A Novel,['Chinua Achebe'],Penguin,1994,en
2599,0671020293,6757,Butterfly,['Virginia C. Andrews'],,1998,en
2600,0860074382,6759,84 Charing Cross Road [Duchess Of Bloomsbury Street],['Helene Hanff'],,1976,en
2601,0330267388,6761,"Life, The Universe, And Everything - The Hitch Hiker's Guide To The Galaxy 3",['Douglas Adams'],,1982,en
2602,0679426140,6763,"Welcome To The World, Baby Girl! - A Novel",['Fannie Flagg'],Random House (NY),1998,en
2603,0671042572,6764,Jewel - A Novel,['Bret Lott'],,1991,en
2604,0743420373,6771,The Millionaire Next Door - The Surprising Secrets Of America's Wealthy,"['Thomas J. Stanley', 'William D. Danko']",,2000,en
2607,0679736662,6782,The Three Stigmata Of Palmer Eldritch,['Philip K. Dick'],Vintage,1991,en
2608,0451209907,6783,Quentins,['Maeve Binchy'],Penguin,2002,en
2609,0449221512,6785,"""I"" Is For Innocent",['Sue Grafton'],Fawcett,1992,en
2610,0399149783,6788,Monkeewrench,['P. J. Tracy'],Putnam Adult,2003,en
2611,0525946284,6789,Jackdaws,['Ken Follett'],Dutton Books,2001,en
2612,0385318073,6790,Evening Class,['Maeve Binchy'],,1996,en
2613,0061013315,6791,The Eleventh Commandment - A Novel,['Jeffrey Archer'],HarperTorch,1999,en
2614,1400031362,6792,Morality For Beautiful Girls,['Alexander McCall Smith'],Anchor,2002,en
2615,0804107386,6793,New Orleans Mourning,['Julie Smith'],Fawcett,1991,en
2616,0449223612,6805,N Is For Noose,['Sue Grafton'],Fawcett,1998,en
2617,0061031127,6810,The Bronze Horseman,['Paullina Simons'],Harper Collins,2002,en
2618,044020352X,6814,Anguished English - An Anthology Of Accidental Assualts Upon Our Language,['Richard Lederer'],Dell,1989,en
2619,0156012197,6815,The Little Prince,[''],Houghton Mifflin Harcourt,2000,en
2621,0553107755,6819,Fierce Invalids Home From Hot Climates,['Tom Robbins'],Bantam,2000,en
2622,1853260150,6820,The Picture Of Dorian Gray,['Oscar Wilde'],Wordsworth Editions,1992,en
2623,1853262390,6821,Orlando - A Biography,['Virginia Woolf'],Wordsworth Editions,1995,en
2624,0393314804,6823,Trainspotting,['Irvine Welsh'],W. W. Norton & Company,1996,en
2625,038073186X,6837,Shutter Island,['Dennis Lehane'],Harper Collins,2004,en
2626,0440195934,6839,Where Are The Children?,['Mary Higgins Clark'],Dell Publishing Company,1976,en
2627,088038722X,6840,Darkness And Light,"['Paul B. Thompson', 'Tonya R. Carter']",Wizards of the Coast,1989,en
2628,0440998050,6843,A Wrinkle In Time,"[""Madeleine L'Engle""]",Laurel Leaf,1976,en
2629,0140014845,6846,Lady Chatterley's Lover,['David Herbert Lawrence'],Penguin UK,1961,en
2630,0743464672,6849,Getting Over Jack Wagner,['Elise Juska'],Gallery Books,2003,en
2631,155874424X,6850,"Chicken Soup For The Soul At Work - 101 Stories Of Courage, Compassion, And Creativity In The Workplace",['Jack Canfield'],,1996,en
2632,2070414574,6851,L'amour dure trois ans - roman,['Frédéric Beigbeder'],Editions Gallimard,2001,fr
2633,1565122968,6860,Gap Creek - The Story Of A Marriage (Oprah's Book Club),['Robert Morgan'],A Shannon Ravenel Book,1999,en
2634,0804115613,6863,Fried Green Tomatoes At The Whistle Stop Cafe: [A Novel],['Fannie Flagg'],"Random House Digital, Inc.",2000,en
2635,067973855X,6865,Motoring With Mohammed - Journeys To Yemen And The Red Sea,['Eric Hansen'],Vintage,1992,en
2636,0345340426,6867,"The Hobbit, Or, There And Back Again [4]",['John Ronald Reuel Tolkien'],,1997,en
2637,0679745203,6868,The English Patient - Man Booker Prize Winner,['Michael Ondaatje'],Vintage,1993,en
2638,0345449347,6873,The Fourth Hand - A Novel,['John Irving'],Ballantine Books,2002,en
2640,0156006391,6878,The Seville Communion,['Arturo Pérez-Reverte'],Harvest Books,1999,en
2641,0156005204,6880,Baltasar And Blimunda,['José Saramago'],Houghton Mifflin Harcourt,1998,en
2642,0156010593,6882,All The Names,['José Saramago'],Mariner Books,2001,en
2643,0375701907,6883,Straight Man - A Novel,['Richard Russo'],Vintage,1998,en
2645,0679777547,6885,The Club Dumas - A Novel,['Arturo Pérez-Reverte'],Vintage,1998,en
2646,034543479X,6886,A Widow For One Year,['John Irving'],Fawcett,2001,en
2647,1853262714,6888,Anna Karenina,['graf Leo Tolstoy'],Wordsworth Editions,1995,en
2648,0375705198,6892,Amy And Isabelle - A Novel,['Elizabeth Strout'],Vintage,2000,en
2649,0747545634,6895,The Map Of Love,['Ahdaf Soueif'],Bloomsbury Pub Limited,2000,en
2650,0449910830,6898,The All-True Travels And Adventures Of Lidie Newton - A Novel,['Jane Smiley'],Ballantine Books,1998,en
2651,0894808249,6908,All I Need To Know I Learned From My Cat,['Suzy Becker'],Workman Publishing,1990,en
2652,044021873X,6910,Windy City Blues - V. I. Warshawski Stories,['Sara Paretsky'],Dell,1996,en
2653,0449223345,6911,A Pirate Looks At Fifty,['Jimmy Buffett'],Fawcett,1999,en
2654,0449223833,6920,The Deep Blue Good-By,[''],Fawcett,1995,en
2655,0679412956,6927,Lasher - A Novel,['Anne Rice'],Knopf,1993,en
2656,0688156142,6929,The Forgotten - A Peter Decker/Rina Lazarus Novel,['Faye Kellerman'],William Morrow,2001,en
2657,0399137734,6930,Dragon Tears,['Dean Ray Koontz'],Putnam Pub Group,1993,en
2660,0670894370,6934,Out To Canaan,['Jan Karon'],Penguin,2001,en
2662,1555910807,6936,Biblioholism - The Literary Addiction,['Tom Raabe'],Fulcrum Group,1991,en
2663,0385495641,6938,Ghost Soldiers - The Forgotten Epic Story Of World War II's Most Dramatic Mission,['Hampton Sides'],Doubleday Books,2001,en
2664,0670031208,6939,Shepherds Abiding,['Jan Karon'],G.P. Putnam's Sons,2003,en
2665,0552143774,6946,The Horse Whisperer,['Nicholas Evans'],Corgi,1996,en
2667,0451192036,6949,Black Like Me,['John Howard Griffin'],Penguin,1996,en
2668,0140434186,6958,Wuthering Heights,['Emily Brontë'],Penguin Classics,1995,en
